# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu_atom/cycles/P'
# Event count (approx.): 26096429668
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ......................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     1.76%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.37%  [.] _RNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB4_9OsaLaneV14emit                                                                                                                                                                                                                                                                                                                                                            -      -            
     1.37%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117append_typed_unit                                                                                                                                                                                                                                                                                                                                -      -            
     1.31%  [.] _RNvMs1_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field7runtimeNtB5_17StandaloneL2Field4load                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.26%  [.] _RNvMs1_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV119append_simhash_unit                                                                                                                                                                                                                                                                                                                              -      -            
     1.17%  [.] _RINvMsi_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB6_8BTreeMapymE6removeyECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.14%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV115canonical_bytes                                                                                                                                                                                                                                                                                                                                               -      -            
     0.96%  [.] _RNvNtNtCscI6d9CVNmLh_4core3str8converts9from_utf8                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.95%  [k] _copy_to_iter                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.93%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.93%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV122decode_canonical_bytes                                                                                                                                                                                                                                                                                                                                        -      -            
     0.89%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records24SlotPhaseProfileRecordV1EBe_                                                                                                                                                                                                                                                                                              -      -            
     0.75%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV135paradigm_reconstructs_exposed_forms                                                                                                                                                                                                                                                                                               -      -            
     0.69%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15proof12sample_cases                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.69%  [.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.67%  [.] _RNvMs4_NtCs40k4W9msRzi_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.64%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.64%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV129execute_packaged_program_into                                                                                                                                                                                                                                                                                                     -      -            
     0.63%  [.] _RINvNtCscI6d9CVNmLh_4core3ptr9drop_glueINtNtNtNtCs40k4W9msRzi_5alloc11collections5btree3map8BTreeMapTmhEmEECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                -      -            
     0.63%  [.] _RNvXNtNtCs40k4W9msRzi_5alloc3vec21spec_from_iter_nestedINtB4_3VecmEINtB2_18SpecFromIterNestedmINtNtNtNtCscI6d9CVNmLh_4core4iter8adapters3map3MapNtNtNtB1D_3str4iter5CharsNvYmINtNtB1D_7convert4FromcE4fromEE9from_iterCsiTbic97zBM6_3lay                                                                                                                                                                                                                     -      -            
     0.62%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16format24validate_directory_entry                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.59%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional14typed_atom_key                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.56%  [.] __memcmp_avx2_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.52%  [.] _RNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v17recordsNtB4_15MorphOpRecordV18validate                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.47%  [.] _RINvXse_NtCs40k4W9msRzi_5alloc6stringNtB6_6StringINtNtNtNtCscI6d9CVNmLh_4core4iter6traits7collect6ExtendRcE6extendINtNtNtBU_5slice4iter4ItercEECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                            -      -            
     0.43%  [.] _RINvNvMs2_NtCs40k4W9msRzi_5alloc7raw_vecINtB8_11RawVecInnerpE7reserve21do_reserve_and_handleNtNtBa_5alloc6GlobalECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                          -      -            
     0.42%  [.] _RINvMs_NtNtNtCs40k4W9msRzi_5alloc11collections5btree6removeINtNtB7_4node6HandleINtBY_7NodeRefNtNtBY_6marker3MutymNtB1v_4LeafENtB1v_2KVE14remove_leaf_kvNCNvMs5_NtNtB7_3map5entryINtB2x_13OccupiedEntryymE9remove_kv0NtNtBb_5alloc6GlobalECsiTbic97zBM6_3lay                                                                                                                                                                                                  -      -            
     0.39%  [.] _RNvMsi_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB5_8BTreeMapmNtNtB7_7set_val9SetValZSTE6insertCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                  -      -            
     0.35%  [.] _RINvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional21decode_delta_postingsNCINvB2_19validate_read_indexNtB2_25CompactLemmaWaveIndexViewEs9_0EB8_                                                                                                                                                                                                                                                                                                -      -            
     0.32%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16events28decode_verified_spool_record                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.32%  [.] _RNvMs_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field14compact_formatNtB4_18CompactPackageView17binding_for_lemma                                                                                                                                                                                                                                                                                                                                              -      -            
     0.28%  [.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.28%  [.] _RNvMs_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field14compact_formatNtB4_18CompactPackageView27validate_bindings_and_edges                                                                                                                                                                                                                                                                                                                                    -      -            
     0.26%  [.] _RNvMs0_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_22TypedProductiveEventV18envelope                                                                                                                                                                                                                                                                                                                                           -      -            
     0.26%  [.] unlink_chunk.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.25%  [k] filemap_get_read_batch                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.25%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV116evaluate_checked                                                                                                                                                                                                                                                                                                                  -      -            
     0.22%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional12read_var_u32                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.22%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional9hash_atom                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.22%  [.] _RNvNtNtNtCscI6d9CVNmLh_4core7unicode12unicode_data11conversions6lookup                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.20%  [.] _RINvXNtCs9HbeI0rEit4_6digest6digestINtNtNtB5_8core_api7wrapper11CoreWrapperINtNtBC_11ct_variable21CtVariableCoreWrapperNtNtCs8BrB9QZrL48_4sha28core_api13Sha256VarCoreINtNtCsgNkfPgJQxtO_7typenum4uint4UIntIB2F_IB2F_IB2F_IB2F_IB2F_NtB2H_5UTermNtNtB2J_3bit2B1ENtB3S_2B0EB46_EB46_EB46_EB46_ENtB1X_9OidSha256EENtB3_6Digest6digestRINtNtCs40k4W9msRzi_5alloc3vec3VechEECsiTbic97zBM6_3lay                                                                   -      -            
     0.19%  [.] _RNvXNtNtCscI6d9CVNmLh_4core3str4iterNtB2_5CharsNtNtNtNtB6_4iter6traits8iterator8Iterator5count                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.18%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB5_23ProductivePackageViewV112pool_payload                                                                                                                                                                                                                                                                                                                                     -      -            
     0.16%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV18validate                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.15%  [.] _RNvMsz_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB5_8IntoIterTtmENtNtB7_7set_val9SetValZSTE10dying_nextCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                          -      -            
     0.14%  [.] _RNvXNtNtCscI6d9CVNmLh_4core4iter8adaptersINtB2_12GenericShuntINtNtB2_3map3MapINtNtNtB6_3ops5range5RangejENCNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v123anchor_recovery_packageNtB1M_27AnchorRecoveryPackageViewV119recover_anchor_into0EINtNtB6_6result6ResultNtNtB6_7convert10InfallibleNtNtCs40k4W9msRzi_5alloc6string6StringEENtNtNtB4_6traits8iterator8Iterator4nextB1U_                                                        -      -            
