# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_atom/cycles/P'
# Event count (approx.): 17014286261
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     2.50%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records15MorphOpRecordV1EBe_                                                                                                                                                                                                                                                                                                       -      -            
     2.40%  [.] _int_free                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.18%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records26MorphProgramHeaderRecordV1EBe_                                                                                                                                                                                                                                                                                            -      -            
     1.96%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117terminal_evidence                                                                                                                                                                                                                                                                                                                                -      -            
     1.94%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV143derive_cold_lemma_bindings_with_diagnostics                                                                                                                                                                                                                                                                                       -      -            
     1.86%  [.] __memmove_avx_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     1.58%  [.] _RNvMs0_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_9OsaLaneV14emit                                                                                                                                                                                                                                                                                                                                                           -      -            
     1.50%  [.] _RNvMs1_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field7runtimeNtB5_17StandaloneL2Field4load                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.39%  [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     1.29%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV115canonical_bytes                                                                                                                                                                                                                                                                                                                                               -      -            
     1.23%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV117append_typed_unit                                                                                                                                                                                                                                                                                                                                -      -            
     1.15%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV122decode_canonical_bytes                                                                                                                                                                                                                                                                                                                                        -      -            
     1.15%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v18geometryNtB5_21AtomLaneAccumulatorV119append_simhash_unit                                                                                                                                                                                                                                                                                                                              -      -            
     1.11%  [.] _RNvNtNtCscI6d9CVNmLh_4core3str8converts9from_utf8                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     1.07%  [k] _copy_to_iter                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.01%  [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.97%  [.] _RINvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16formatNtB6_23ProductivePackageViewV16recordNtNtB8_7records24SlotPhaseProfileRecordV1EBe_                                                                                                                                                                                                                                                                                              -      -            
     0.92%  [.] _int_realloc                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.87%  [.] _RNvMs4_NtCs40k4W9msRzi_5alloc7raw_vecNtB5_11RawVecInner11finish_growCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.80%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV135paradigm_reconstructs_exposed_forms                                                                                                                                                                                                                                                                                               -      -            
